iter	Passed	Remaining
274	609	1607
275	610	1602
276	611	1596
277	612	1591
278	613	1585
279	614	1580
280	615	1575
281	616	1569
282	617	1564
283	618	1559
284	619	1553
285	620	1549
286	621	1544
287	622	1539
288	623	1534
289	624	1529
290	625	1524
291	626	1519
292	627	1514
293	628	1509
294	629	1504
295	630	1499
296	631	1493
297	632	1488
298	632	1483
299	633	1478
300	634	1473
301	635	1468
302	636	1464
303	637	1460
304	638	1455
305	639	1450
306	640	1445
307	641	1440
308	642	1436
309	643	1431
310	643	1426
311	644	1421
312	645	1417
313	646	1412
314	647	1407
315	648	1403
316	649	1398
317	649	1393
318	650	1389
319	652	1385
320	653	1381
321	654	1377
322	655	1372
323	655	1368
324	656	1364
325	657	1359
326	658	1355
327	659	1351
328	660	1346
329	661	1342
330	662	1338
331	663	1334
332	664	1330
333	665	1326
334	666	1322
335	667	1318
336	668	1314
337	669	1310
338	670	1306
339	670	1302
340	671	1298
341	672	1294
342	673	1289
343	674	1285
344	674	1281
345	675	1277
346	676	1273
347	677	1270
348	678	1266
349	680	1263
350	682	1261
351	683	1257
352	683	1253
353	684	1249
354	685	1245
355	686	1241
356	687	1238
357	688	1234
358	689	1230
359	689	1226
360	690	1222
361	691	1218
362	692	1215
363	694	1213
364	695	1209
365	696	1205
366	696	1202
367	697	1198
368	698	1194
369	699	1190
370	700	1187
371	701	1183
372	701	1179
373	702	1176
374	703	1172
375	704	1168
376	705	1165
377	705	1161
378	706	1158
379	707	1154
380	711	1156
381	718	1162
382	722	1164
383	725	1163
384	727	1162
385	730	1161
386	732	1159
387	733	1157
388	735	1155
389	737	1153
390	739	1151
391	740	1148
392	742	1146
393	743	1144
394	745	1141
395	747	1139
396	748	1136
397	749	1133
398	750	1130
399	751	1127
400	753	1124
401	754	1122
402	755	1119
403	756	1116
404	757	1113
405	758	1110
406	759	1107
407	760	1104
408	761	1101
409	762	1097
410	763	1094
411	764	1091
412	765	1088
413	766	1085
414	767	1082
415	768	1079
416	769	1075
417	770	1072
418	771	1069
419	772	1066
420	772	1062
421	773	1059
422	774	1056
423	775	1053
424	776	1050
425	776	1046
426	777	1043
427	778	1040
428	779	1037
429	780	1034
430	781	1031
431	782	1028
432	782	1025
433	783	1021
434	784	1018
435	785	1015
436	786	1012
437	786	1009
438	787	1006
439	788	1003
440	795	1008
441	800	1010
442	804	1011
443	806	1010
444	809	1009
445	812	1008
446	813	1006
447	815	1005
448	817	1003
449	819	1001
450	821	999
451	822	997
452	824	995
453	825	993
454	827	990
455	828	988
